gender,ug_course,ug_specialization,interests,skills,cgpa,has_certification,certification_title,is_working,masters_field,job_title
Male,BCA,Visual Arts,"Creativity, Photography, Graphic Design, User Experience","Figma, Adobe XD, Prototyping, Sketch, SQL",7.83,No,None,Yes,MS in Human-Computer Interaction,UI/UX Designer
Female,B.Tech,Computer Science,"App Development, Programming, Design","Linux, Java, Swift",8.25,Yes,Flutter Development Bootcamp,Yes,No Masters,Mobile App Developer
Male,MSc,Computer Science,"Mathematics, Sports, Research","Mathematics, Deep Learning, Research Writing",8.83,Yes,Reinforcement Learning Specialization,No,PhD in CS,AI Research Scientist
Female,B.Tech,Computer Science,"Sports, Data Analysis, Statistics, Machine Learning","Teamwork, Python, SQL",8.0,Yes,IBM Data Science,Yes,No Masters,Data Scientist
Male,BBA,Computer Science,"Business Analysis, Sports, IT Management, Consulting","Excel, Project Management, SQL, Problem Solving, Communication",6.84,No,None,Yes,No Masters,IT Consultant
Male,B.Tech,Information Technology,"Backend, Database Management","PostgreSQL, SQL, Oracle",6.87,Yes,Microsoft SQL Server,No,MS in Information Systems,Database Administrator
Male,B.Tech,Software Engineering,"Travel, Problem Solving","Java, C++, Git, Teamwork, Python",8.48,Yes,Microsoft Azure Fundamentals,Yes,M.Tech in CS,Software Engineer
Male,B.Tech,Computer Science,"Cyber Security, Cooking, Networking","Ethical Hacking, Cryptography, Python, Network Security",7.77,Yes,CEH Ethical Hacker,Yes,No Masters,Cybersecurity Analyst
Female,BBA,Computer Science,"Consulting, IT Management","SQL, ERP Systems, Communication, Project Management, Excel",6.02,Yes,Microsoft 365 Fundamentals,No,No Masters,IT Consultant
Male,B.Tech,Information Technology,"Cyber Security, Networking","Excel, Linux, Python",8.14,No,None,No,M.Tech in Cybersecurity,Cybersecurity Analyst
Male,BCom,Business Administration,"Business Strategy, Management, Data Analysis","Excel, SQL, Power BI, Teamwork",6.71,Yes,Power BI Certificate,No,MBA,Business Analyst
Male,BCom,Management,"Data Analysis, Business Strategy","Project Management, Linux, Communication, SQL, Git",7.71,Yes,Google Data Analytics,Yes,No Masters,Business Analyst
Male,BCA,Mathematics,"Data Analysis, Cooking, Machine Learning","Python, SQL, Machine Learning",7.08,Yes,DataCamp Data Scientist,Yes,M.Tech in Data Science,Data Scientist
Male,BCom,Information Technology,"Consulting, Business Analysis, IT Management","SQL, Project Management, Communication",8.06,No,None,Yes,MS in Information Systems,IT Consultant
Female,BSc,Electronics,"Gaming, Research","Python, Git, Machine Learning",8.6,Yes,TensorFlow Developer Certificate,Yes,M.Tech in AI,Machine Learning Engineer
Male,B.Tech,Electronics,"Deep Learning, Artificial Intelligence, Photography, Research","Mathematics, TensorFlow, Machine Learning, Git",8.23,Yes,TensorFlow Developer Certificate,Yes,MSc in Mathematics,Machine Learning Engineer
Male,BSc,Information Technology,"Data Modeling, Backend, Database Management, Travel","Linux, SQL, MongoDB, Oracle",8.23,Yes,Oracle DBA Certification,No,MS in Information Systems,Database Administrator
Female,BSc,Information Technology,"Automation, Cloud Infrastructure, Networking, Travel","AWS, Azure, Git, Linux",7.39,Yes,AWS Solutions Architect,Yes,MS in Computer Networks,Cloud Engineer
Female,BSc,Computer Science,"Market Research, Gaming, Leadership, Product Strategy","Agile, Communication, Git",8.42,Yes,Scrum Master PSM,Yes,MS in Product Management,Product Manager
Male,BSc,Computer Science,"Travel, Hardware, System Administration, Networking","SQL, Routing, Linux",7.03,Yes,CompTIA Network+,Yes,MS in Telecommunications,Network Engineer
Male,BSc,Electronics,"Deep Learning, Reading","Mathematics, Python, TensorFlow, PyTorch",8.65,Yes,Deep Learning Specialization,Yes,No Masters,Machine Learning Engineer
Female,B.Tech,Statistics,"Mathematics, Artificial Intelligence, Cooking","Research Writing, Python, Mathematics, Deep Learning",9.57,Yes,NLP Specialization,Yes,MSc in Mathematics,AI Research Scientist
